_id,name,release_year,position,titlemeter,position_change
6634e60a515b0299a18db0be,Падение империи,2024,1,no change,no change
6634e60a515b0299a18db0bf,Претенденты,2024,2,up,9
6634e60a515b0299a18db0c0,"Мятежная Луна, часть 2: Оставляющая шрамы шрамы",2024,3,up,7
6634e60a515b0299a18db0c1,Эбигейл,2024,4,up,1
6634e60a515b0299a18db0c2,Министерство неджентльменских дел,2024,5,down,2
6634e60a515b0299a18db0c3,Дэдпул и Россомаха,2024,6,up,50
6634e60a515b0299a18db0c4,Дюна: Часть вторая,2024,7,down,5
6634e60a515b0299a18db0c5,Полночь с дьяволом,2023,8,up,6
6634e60a515b0299a18db0c6,Манкимэн,2024,9,down,1
6634e60a515b0299a18db0c7,"Мятежная Луна, часть 1: Дитя огня",2023,10,up,12
6634e60a515b0299a18db0c8,"Кто угодно, кроме тебя",2023,11,up,16
6634e60a515b0299a18db0c9,Каскадёры,2024,12,up,12
6634e60a515b0299a18db0ca,Любовь истекает кровью,2024,13,up,25
6634e60a515b0299a18db0cb,Аргайл: Супершпион,2024,14,down,10
6634e60a515b0299a18db0cc,Годзилла и Конг: Новая империя,2024,15,down,9
6634e60a515b0299a18db0cd,Омен. Непорочная,2024,16,down,9
6634e60a515b0299a18db0ce,Бедные-несчастные,2023,17,down,5
6634e60a515b0299a18db0cf,Дом у дороги,2024,18,down,9
6634e60a515b0299a18db0d0,The Watchers,2024,19,up,335
6634e60a515b0299a18db0d1,Дюна,2021,20,down,1
6634e60a515b0299a18db0d2,Оппенгеймер,2023,21,down,6
6634e60a515b0299a18db0d3,Пацан против всех,2023,22,up,71
6634e60a515b0299a18db0d4,Планета обезьян: Новое царство,2024,23,up,8
6634e60a515b0299a18db0d5,Трансформеры один,2024,24,down,11
6634e60a515b0299a18db0d6,"Артур, ты король",2024,25,up,128
6634e60a515b0299a18db0d7,Blink Twice,2024,26,up,5358
6634e60a515b0299a18db0d8,Trap,2024,27,up,3
6634e60a515b0299a18db0d9,Охотники за привидениями: Леденящий ужас,2024,28,down,8
6634e60a515b0299a18db0da,Кунг-фу панда 4,2024,29,down,12
6634e60a515b0299a18db0db,Пчеловод,2024,30,up,9
6634e60a515b0299a18db0dc,Экзорцизм,2024,31,up,11819
