title,date_time,url
Мишустин поздравил предпринимателей с профессиональным праздником,2024-05-26 11:16:00,https://ria.ru/20240526/predprinimateli-1948421245.html
Вице-премьер Молдавии назвала сроки начала переговоров о вступлении в ЕС,2024-05-26 11:14:00,https://ria.ru/20240526/moldaviya-1948420973.html
Песков назвал Путина абсолютным трудоголиком,2024-05-26 11:10:00,https://ria.ru/20240526/putin-1948419988.html
Украинские дроны атаковали белгородское село Муром,2024-05-26 11:08:00,https://ria.ru/20240526/murom-1948419536.html
"ВС России выдавливают ВСУ из Старомайорского и Урожайного, заявил Рогов",2024-05-26 10:57:00,https://ria.ru/20240526/svo-1948417373.html
Украинские СМИ сообщили о взрывах в Хмельницкой области,2024-05-26 10:51:00,https://ria.ru/20240526/vzryvy-1948416114.html
Узбекистан намерен увеличить освоение инвестиций из России,2024-05-26 10:45:00,https://ria.ru/20240526/investitsii-1948415652.html
На всей территории Украины объявили воздушную тревогу,2024-05-26 10:30:00,https://ria.ru/20240526/trevoga-1948414079.html
Володин заявил о нелегитимности Зеленского,2024-05-26 10:20:00,https://ria.ru/20240526/zelenskiy-1948412764.html
Невероятно. В Германии ужаснулись заявлению Бербок о России,2024-05-26 10:20:00,https://ria.ru/20240526/berbok-1948412651.html
Москва и Ташкент прорабатывают создание крупных производств в Узбекистане,2024-05-26 10:17:00,https://ria.ru/20240526/proizvodstva-1948412262.html
Число пострадавших при обстрелах Горловки возросло до семи,2024-05-26 10:11:00,https://ria.ru/20240526/obstrel-1948411321.html
Мишустин поздравил работников химической промышленности с праздником,2024-05-26 10:07:00,https://ria.ru/20240526/mishustin-1948410997.html
Рогов сообщил об уничтожении склада боеприпасов ВСУ в Харькове,2024-05-26 10:03:00,https://ria.ru/20240526/sklad-1948410613.html
Стало известно о контракте по АЭС российского дизайна в Узбекистане,2024-05-26 10:01:00,https://ria.ru/20240526/kontrakt-1948410525.html
"В Приморье пациент погиб, выпав из машины скорой помощи",2024-05-26 10:00:00,https://ria.ru/20240526/dtp-1948410344.html
Часть россиян получит двойную пенсию в июне,2024-05-26 09:53:00,https://ria.ru/20240526/pensiya-1948409408.html
Австрийский бизнесмен назвал переговоры по Украине без России странными,2024-05-26 09:48:00,https://ria.ru/20240526/peregovory-1948409044.html
Источник: ВСУ около 50 раз обстреляли Херсонскую область за сутки,2024-05-26 09:44:00,https://ria.ru/20240526/obstrel-1948408607.html
В МИД России объяснили важность определения границ континентального шельфа,2024-05-26 09:41:00,https://ria.ru/20240526/granitsy-1948408281.html
Мишустин поздравил предпринимателей с профессиональным праздником,2024-05-26 11:16:00,https://ria.ru/20240526/predprinimateli-1948421245.html
Вице-премьер Молдавии назвала сроки начала переговоров о вступлении в ЕС,2024-05-26 11:14:00,https://ria.ru/20240526/moldaviya-1948420973.html
Песков назвал Путина абсолютным трудоголиком,2024-05-26 11:10:00,https://ria.ru/20240526/putin-1948419988.html
Украинские дроны атаковали белгородское село Муром,2024-05-26 11:08:00,https://ria.ru/20240526/murom-1948419536.html
"ВС России выдавливают ВСУ из Старомайорского и Урожайного, заявил Рогов",2024-05-26 10:57:00,https://ria.ru/20240526/svo-1948417373.html
